ANG,TRQ,ANG_pred,TRQ pred,MAE,Anomaly
-29.999998,2441.0,-28.291851,2430.907,0.008233919739723206,False
71.0,2379.0,72.32749,2366.7996,0.008477017283439636,False
45.0,2441.0,46.619858,2430.399,0.008299462497234344,False
41.0,2441.0,42.684185,2430.541,0.008360534906387329,False
57.0,2442.0,58.367744,2430.957,0.008005551993846893,False
48.0,2441.0,49.56407,2430.2812,0.008243948221206665,False
94.0,2444.0,95.33554,2436.1367,0.006424441933631897,False
-106.5,3691.5,-107.8817,3688.2822,0.004301011562347412,False
-96.0,2750.0,-96.31105,2742.319,0.004286438226699829,False
28.999998,2441.0,30.80568,2430.8806,0.008441701531410217,False
60.0,2439.0,61.30537,2427.6592,0.008022896945476532,False
-73.0,2502.0,-72.64359,2499.7122,0.0018047094345092773,False
-7.0000033,2441.0,-5.514161,2431.5574,0.007478624582290649,False
-94.99999,2670.0,-95.0995,2665.8716,0.0021684765815734863,False
-45.000004,2440.0,-43.153057,2430.1658,0.008388414978981018,False
-39.0,2440.0,-37.15367,2429.8862,0.00852048397064209,False
-97.0,2682.0,-97.13343,2677.6638,0.00233536958694458,False
0.0,2441.0,1.5793355,2431.556,0.007666483521461487,False
-1.9999988,2442.0,-0.4552665,2432.567,0.0075920820236206055,False
-81.0,2596.0,-80.803276,2594.3193,0.0011955499649047852,False
-80.0,2617.0,-79.86356,2614.09,0.001661062240600586,False
64.0,2424.0,65.2513,2411.789,0.008329600095748901,False
27.0,2439.0,28.822456,2428.873,0.008479014039039612,False
-63.000008,2448.0,-61.790054,2440.9458,0.005787104368209839,False
-53.0,2441.0,-51.311333,2432.0051,0.007671058177947998,False
35.0,2441.0,36.758144,2430.7231,0.008421666920185089,False
21.000002,2441.0,22.824463,2431.0825,0.008383035659790039,False
48.0,2439.0,49.56689,2428.1755,0.008299991488456726,False
-13.999999,2427.0,-12.515199,2417.7087,0.007404416799545288,False
-108.0,2815.0,-107.99888,2808.3018,0.003197222948074341,False
-23.000002,2441.0,-21.426725,2431.1147,0.007864758372306824,False
1.9999988,2433.0,3.631131,2423.6394,0.007730334997177124,False
-75.0,2494.0,-74.65976,2491.499,0.0018740594387054443,False
-25.0,2441.0,-23.389725,2431.0454,0.00797182321548462,False
13.999999,2436.0,15.810511,2426.2417,0.008279204368591309,False
8.000003,2442.0,9.709005,2432.4226,0.007989764213562012,False
3.9999976,2441.0,5.647758,2431.5005,0.007829904556274414,False
-30.999996,2441.0,-29.272982,2430.8884,0.00828060507774353,False
-14.999999,2442.0,-13.530464,2432.3923,0.007524743676185608,False
63.0,2440.0,64.239105,2428.6157,0.00791078805923462,False
-26.0,2441.0,-24.370363,2431.013,0.008026078343391418,False
-27.999998,2442.0,-26.338112,2431.9695,0.008111566305160522,False
20.0,2441.0,21.822557,2431.1084,0.008366860449314117,False
-7.0000033,2440.0,-5.511891,2430.564,0.007480040192604065,False
-85.99999,2597.0,-85.77786,2595.4153,0.0012004673480987549,False
51.0,2441.0,52.502716,2430.1555,0.008181050419807434,False
-4.999997,2442.0,-3.495934,2432.5674,0.007510453462600708,False
-96.0,2821.0,-96.03494,2810.6616,0.005001187324523926,False
-23.000002,2442.0,-21.432367,2432.1235,0.007849469780921936,False
-9.000002,2441.0,-7.528488,2431.5322,0.007461979985237122,False
16.999998,2379.0,18.979929,2373.5242,0.006575673818588257,False
21.000002,2440.0,22.828943,2430.0618,0.008401960134506226,False
-101.0,2793.0,-101.237465,2785.3613,0.004118978977203369,False
-9.000002,2441.0,-7.528488,2431.5322,0.007461979985237122,False
-14.999999,2442.0,-13.530464,2432.3923,0.007524743676185608,False
-69.00001,2472.0,-68.320564,2467.4182,0.0035457611083984375,False
21.000002,2442.0,22.819975,2432.1062,0.008362904191017151,False
-37.0,2441.0,-35.181576,2430.8728,0.008470997214317322,False
61.0,2423.0,62.314713,2410.8696,0.008418083190917969,False
97.5,3609.0,134.32593,3464.1357,0.142823725938797,True
-14.999999,2441.0,-13.526988,2431.3918,0.0075318217277526855,False
-42.000004,2442.0,-40.16408,2432.055,0.008419185876846313,False
-43.000004,2442.0,-41.165474,2432.1072,0.008391574025154114,False
-34.999996,2441.0,-33.206623,2430.8572,0.008428290486335754,False
-75.0,2551.0,-74.76441,2550.2874,0.000811457633972168,False
28.999998,2442.0,30.80256,2431.916,0.008418679237365723,False
-20.000004,2442.0,-18.479908,2432.228,0.007704257965087891,False
-43.000004,2441.0,-41.154354,2431.074,0.008429571986198425,False
33.0,2429.0,34.80526,2418.4543,0.008644141256809235,False
-67.00001,2460.0,-66.11529,2454.343,0.004469513893127441,False
97.0,2442.0,98.44131,2435.0396,0.0062055885791778564,False
53.0,2439.0,54.462498,2427.9573,0.008195191621780396,False
67.0,2419.0,68.20928,2406.5361,0.008366018533706665,False
61.0,2393.0,62.40202,2380.73,0.008659541606903076,False
